account_id,holder_id,opened
AC-CORE-101,P001,2025-08-10
AC-MULE-201,P006,2026-01-15
AC-MULE-202,P007,2026-01-20
AC-MULE-203,P008,2026-02-01
AC-MULE-204,P009,2026-02-05
AC-CORP-301,P002,2025-05-12
AC-OFFSHORE-501,P003,2024-11-20
AC010,P011,2025-09-23
AC011,P012,2025-05-14
AC012,P013,2025-08-16
AC013,P014,2025-04-15
AC014,P015,2025-09-05
AC015,P016,2025-07-07
AC016,P017,2025-10-17
AC017,P018,2025-12-05
AC018,P019,2025-02-09
AC019,P020,2025-07-11
AC020,P021,2025-09-09
AC021,P022,2025-01-10
AC022,P023,2025-12-10
AC023,P024,2025-10-19
AC024,P025,2025-11-16
AC025,P026,2025-03-15
AC026,P027,2025-09-16
AC027,P028,2025-06-11
AC028,P029,2025-09-25
AC029,P030,2025-09-13
AC030,P031,2025-08-11
AC031,P032,2025-04-23
AC032,P033,2025-04-19
AC033,P034,2025-07-08
AC034,P035,2025-07-02
AC035,P036,2025-06-24
AC036,P037,2025-08-23
AC037,P038,2025-07-13
AC038,P039,2025-11-26
AC039,P040,2025-11-05
AC040,P041,2025-08-02
AC041,P042,2025-03-17
AC042,P043,2025-10-11
AC043,P044,2025-02-28
AC044,P045,2025-08-04
AC045,P046,2025-09-15
AC046,P047,2025-01-24
AC047,P048,2025-03-14
AC048,P049,2025-11-05
AC049,P050,2025-02-16
AC050,P051,2025-05-11
AC051,P052,2025-10-23
AC052,P053,2025-07-21
AC053,P054,2025-02-28
AC054,P055,2025-06-28
AC055,P056,2025-11-28
AC056,P057,2025-09-13
AC057,P058,2025-06-21
AC058,P059,2025-12-25
AC059,P060,2025-08-28
AC060,P061,2025-09-02
AC061,P062,2025-10-03
AC062,P063,2025-04-21
AC063,P064,2025-11-10
AC064,P065,2025-04-24
AC065,P066,2025-02-14
AC066,P067,2025-02-25
AC067,P068,2025-11-23
