case_id,entity_type,entity_id,relation
FIR-1042/2025,person,P001,NAMED_ACCUSED
FIR-1042/2025,person,P004,NAMED_ACCUSED
FIR-1042/2025,phone,PH001,CITED
FIR-1042/2025,vehicle,KA-01-MJ-4040,SEEN_NEAR_SCENE
FIR-0512/2026,person,P002,NAMED_ACCUSED
FIR-0512/2026,person,P003,NAMED_ACCUSED
FIR-0512/2026,phone,PH-BURNER-02,CITED
FIR-0512/2026,vehicle,MH-12-DE-8821,SEEN_NEAR_SCENE
FIR-1042/2025,person,P094,CITED
FIR-1042/2025,person,P066,CITED
FIR-1042/2025,person,P021,CITED
FIR-1042/2025,person,P049,NAMED_ACCUSED
FIR-1042/2025,person,P022,CITED
FIR-1042/2025,person,P073,CITED
FIR-1042/2025,person,P111,NAMED_ACCUSED
FIR-1042/2025,person,P112,NAMED_ACCUSED
FIR-1042/2025,vehicle,MH-02-DE-7141,SEEN_NEAR_SCENE
FIR-1042/2025,vehicle,MH-02-ZK-8222,SEEN_NEAR_SCENE
FIR-1042/2025,vehicle,MH-02-AB-7484,SEEN_NEAR_SCENE
FIR-1042/2025,vehicle,MH-02-AB-7484,SEEN_NEAR_SCENE
FIR-2087/2025,person,P037,CITED
FIR-2087/2025,person,P016,CITED
FIR-2087/2025,person,P123,NAMED_ACCUSED
FIR-2087/2025,person,P080,CITED
FIR-2087/2025,person,P002,CITED
FIR-2087/2025,person,P110,CITED
FIR-2087/2025,person,P104,NAMED_ACCUSED
FIR-2087/2025,person,P113,CITED
FIR-2087/2025,vehicle,KA-05-MJ-3165,SEEN_NEAR_SCENE
FIR-2087/2025,vehicle,DL-01-XY-7807,SEEN_NEAR_SCENE
FIR-0311/2026,person,P057,NAMED_ACCUSED
FIR-0311/2026,person,P077,NAMED_ACCUSED
FIR-0311/2026,person,P113,CITED
FIR-0311/2026,person,P080,CITED
FIR-0311/2026,person,P105,CITED
FIR-0311/2026,person,P007,NAMED_ACCUSED
FIR-0311/2026,person,P008,CITED
FIR-0311/2026,person,P005,NAMED_ACCUSED
FIR-0311/2026,vehicle,MH-12-DE-8821,SEEN_NEAR_SCENE
