src_account,dst_account,amount,txn_date,record_id
AC-CORE-101,AC-MULE-201,930107,2026-03-15,TXN-MULE-001
AC-CORE-101,AC-MULE-201,944903,2026-03-16,TXN-MULE-002
AC-CORE-101,AC-MULE-201,966640,2026-03-17,TXN-MULE-003
AC-MULE-201,AC-MULE-202,971373,2026-03-15,TXN-MULE-004
AC-MULE-201,AC-MULE-202,961543,2026-03-16,TXN-MULE-005
AC-MULE-201,AC-MULE-202,930110,2026-03-17,TXN-MULE-006
AC-MULE-202,AC-MULE-203,968474,2026-03-15,TXN-MULE-007
AC-MULE-202,AC-MULE-203,945534,2026-03-16,TXN-MULE-008
AC-MULE-202,AC-MULE-203,940753,2026-03-17,TXN-MULE-009
AC-MULE-203,AC-MULE-204,943638,2026-03-15,TXN-MULE-010
AC-MULE-203,AC-MULE-204,926982,2026-03-16,TXN-MULE-011
AC-MULE-203,AC-MULE-204,925997,2026-03-17,TXN-MULE-012
AC-MULE-204,AC-CORP-301,920340,2026-03-15,TXN-MULE-013
AC-MULE-204,AC-CORP-301,981797,2026-03-16,TXN-MULE-014
AC-MULE-204,AC-CORP-301,940202,2026-03-17,TXN-MULE-015
AC-CORP-301,AC-OFFSHORE-501,949146,2026-03-15,TXN-MULE-016
AC-CORP-301,AC-OFFSHORE-501,943587,2026-03-16,TXN-MULE-017
AC-CORP-301,AC-OFFSHORE-501,969895,2026-03-17,TXN-MULE-018
AC037,AC016,770646,2026-02-03,TXN-0019
AC055,AC016,397584,2026-01-03,TXN-0020
AC044,AC052,388813,2026-01-10,TXN-0021
AC034,AC024,120495,2026-04-06,TXN-0022
AC066,AC021,122341,2026-01-06,TXN-0023
AC064,AC012,819886,2026-03-09,TXN-0024
AC028,AC061,51774,2026-01-05,TXN-0025
AC051,AC045,33220,2026-04-11,TXN-0026
AC041,AC044,18163,2026-05-23,TXN-0027
AC053,AC043,200963,2026-03-24,TXN-0028
AC051,AC038,509505,2026-04-12,TXN-0029
AC026,AC-MULE-203,605482,2026-04-23,TXN-0030
AC011,AC055,564955,2026-04-05,TXN-0031
AC022,AC057,802514,2026-04-03,TXN-0032
AC054,AC067,862986,2026-04-18,TXN-0033
AC013,AC016,28265,2026-02-22,TXN-0034
AC054,AC045,5691,2026-04-04,TXN-0035
AC031,AC060,917181,2026-03-13,TXN-0036
AC067,AC022,77406,2026-03-01,TXN-0037
AC013,AC017,25440,2026-02-12,TXN-0038
AC064,AC047,239266,2026-04-04,TXN-0039
AC011,AC041,659743,2026-01-26,TXN-0040
AC016,AC024,194679,2026-02-17,TXN-0041
AC057,AC062,31545,2026-02-26,TXN-0042
AC058,AC053,167853,2026-01-24,TXN-0043
AC052,AC-CORE-101,365602,2026-02-07,TXN-0044
AC016,AC026,169944,2026-03-11,TXN-0045
AC065,AC043,203879,2026-05-13,TXN-0046
AC048,AC061,24493,2026-05-06,TXN-0047
AC020,AC043,80657,2026-01-08,TXN-0048
AC021,AC052,200681,2026-04-20,TXN-0049
AC026,AC065,195467,2026-05-23,TXN-0050
AC039,AC020,212374,2026-02-11,TXN-0051
AC-MULE-201,AC065,829990,2026-02-07,TXN-0052
AC066,AC055,34088,2026-04-14,TXN-0053
AC-MULE-203,AC031,108941,2026-03-02,TXN-0054
AC024,AC061,37460,2026-05-24,TXN-0055
AC017,AC037,343631,2026-05-27,TXN-0056
AC059,AC030,128042,2026-04-04,TXN-0057
AC036,AC047,520073,2026-01-15,TXN-0058
AC047,AC057,14124,2026-02-20,TXN-0059
AC047,AC038,134843,2026-05-18,TXN-0060
AC037,AC015,590794,2026-02-25,TXN-0061
AC034,AC021,249615,2026-03-27,TXN-0062
AC021,AC037,69796,2026-04-13,TXN-0063
AC038,AC050,302593,2026-04-16,TXN-0064
AC014,AC061,9150,2026-03-28,TXN-0065
AC057,AC030,654161,2026-04-09,TXN-0066
AC019,AC065,404411,2026-03-22,TXN-0067
AC061,AC-MULE-202,15353,2026-01-28,TXN-0068
AC057,AC028,24783,2026-02-21,TXN-0069
AC049,AC035,715594,2026-01-12,TXN-0070
AC042,AC032,10976,2026-04-21,TXN-0071
AC030,AC064,844676,2026-01-05,TXN-0072
AC059,AC-MULE-201,742828,2026-01-23,TXN-0073
AC019,AC064,30104,2026-01-08,TXN-0074
AC043,AC050,439613,2026-03-05,TXN-0075
AC021,AC011,209991,2026-05-19,TXN-0076
AC047,AC030,33992,2026-02-14,TXN-0077
AC020,AC018,142152,2026-05-24,TXN-0078
AC020,AC034,880278,2026-03-21,TXN-0079
AC039,AC-MULE-203,38931,2026-03-07,TXN-0080
AC053,AC040,20685,2026-01-26,TXN-0081
AC033,AC066,53163,2026-05-03,TXN-0082
AC019,AC052,193224,2026-05-14,TXN-0083
AC012,AC-MULE-202,5903,2026-05-03,TXN-0084
AC010,AC053,744150,2026-05-10,TXN-0085
AC054,AC013,122736,2026-05-18,TXN-0086
AC013,AC029,914923,2026-02-18,TXN-0087
AC011,AC042,20639,2026-04-24,TXN-0088
AC058,AC017,624314,2026-04-20,TXN-0089
AC025,AC018,13992,2026-01-23,TXN-0090
AC066,AC047,21990,2026-05-17,TXN-0091
AC037,AC018,33136,2026-01-11,TXN-0092
AC036,AC012,144404,2026-04-15,TXN-0093
AC024,AC050,11743,2026-02-09,TXN-0094
AC-CORE-101,AC-CORP-301,173670,2026-01-08,TXN-0095
AC022,AC025,32483,2026-01-18,TXN-0096
AC056,AC043,10104,2026-03-27,TXN-0097
AC067,AC-OFFSHORE-501,38801,2026-02-08,TXN-0098
AC062,AC039,10661,2026-03-11,TXN-0099
AC050,AC028,243875,2026-03-19,TXN-0100
AC050,AC066,40819,2026-02-24,TXN-0101
AC-CORE-101,AC055,140812,2026-01-08,TXN-0102
AC-CORE-101,AC051,188887,2026-03-04,TXN-0103
AC065,AC010,23338,2026-02-23,TXN-0104
AC055,AC050,400219,2026-04-24,TXN-0105
AC020,AC053,756112,2026-01-19,TXN-0106
AC019,AC033,153010,2026-03-09,TXN-0107
AC060,AC037,18284,2026-02-03,TXN-0108
AC022,AC016,35543,2026-02-15,TXN-0109
AC048,AC029,35365,2026-04-10,TXN-0110
AC023,AC041,19091,2026-05-02,TXN-0111
AC034,AC048,227519,2026-04-17,TXN-0112
AC025,AC-MULE-203,34635,2026-04-28,TXN-0113
AC015,AC062,14161,2026-01-26,TXN-0114
AC031,AC019,388121,2026-02-27,TXN-0115
AC036,AC012,17959,2026-01-03,TXN-0116
AC014,AC045,476149,2026-01-02,TXN-0117
AC058,AC053,30082,2026-04-01,TXN-0118
AC048,AC030,23340,2026-02-09,TXN-0119
AC034,AC040,41089,2026-04-14,TXN-0120
AC038,AC052,18071,2026-02-14,TXN-0121
AC-MULE-202,AC051,660745,2026-03-16,TXN-0122
AC067,AC044,634367,2026-04-09,TXN-0123
AC031,AC-MULE-203,674795,2026-03-02,TXN-0124
AC032,AC023,859614,2026-01-08,TXN-0125
AC010,AC031,30455,2026-05-28,TXN-0126
AC033,AC043,668765,2026-03-19,TXN-0127
AC021,AC027,25254,2026-04-18,TXN-0128
AC014,AC010,55224,2026-02-20,TXN-0129
AC-CORE-101,AC045,139327,2026-05-07,TXN-0130
AC010,AC-MULE-202,79077,2026-02-19,TXN-0131
AC012,AC050,138227,2026-04-19,TXN-0132
AC020,AC023,36929,2026-04-26,TXN-0133
AC048,AC031,621727,2026-05-27,TXN-0134
AC040,AC019,234027,2026-02-24,TXN-0135
AC-MULE-204,AC026,19476,2026-05-11,TXN-0136
AC066,AC021,112389,2026-03-24,TXN-0137
AC024,AC014,5746,2026-03-15,TXN-0138
AC011,AC047,12080,2026-03-26,TXN-0139
AC052,AC059,179258,2026-04-06,TXN-0140
AC051,AC015,42883,2026-04-26,TXN-0141
AC060,AC012,6315,2026-01-10,TXN-0142
AC012,AC046,378645,2026-02-13,TXN-0143
AC014,AC046,234681,2026-05-20,TXN-0144
AC024,AC058,11636,2026-02-02,TXN-0145
AC055,AC036,75143,2026-03-10,TXN-0146
AC065,AC022,162094,2026-01-12,TXN-0147
AC064,AC028,18562,2026-01-01,TXN-0148
AC063,AC017,812855,2026-03-26,TXN-0149
AC036,AC014,147260,2026-05-13,TXN-0150
AC026,AC060,33818,2026-01-09,TXN-0151
AC037,AC010,660491,2026-02-25,TXN-0152
AC055,AC032,738967,2026-05-02,TXN-0153
AC063,AC033,336415,2026-04-10,TXN-0154
AC021,AC018,15955,2026-04-06,TXN-0155
AC-CORP-301,AC057,455061,2026-01-22,TXN-0156
AC036,AC043,716656,2026-01-03,TXN-0157
AC044,AC038,916118,2026-05-15,TXN-0158
AC056,AC017,916493,2026-04-05,TXN-0159
AC015,AC016,124997,2026-05-25,TXN-0160
AC055,AC036,199952,2026-04-21,TXN-0161
AC-MULE-204,AC025,938221,2026-03-13,TXN-0162
AC054,AC-MULE-204,62921,2026-04-11,TXN-0163
AC050,AC-MULE-202,131513,2026-03-27,TXN-0164
AC015,AC032,582507,2026-02-10,TXN-0165
AC056,AC014,807993,2026-02-15,TXN-0166
AC050,AC010,626236,2026-05-26,TXN-0167
AC067,AC054,39359,2026-02-25,TXN-0168
AC027,AC028,169655,2026-01-08,TXN-0169
AC028,AC038,716224,2026-03-27,TXN-0170
AC018,AC-MULE-203,37033,2026-02-12,TXN-0171
AC063,AC047,246335,2026-03-06,TXN-0172
AC-MULE-203,AC052,532103,2026-01-06,TXN-0173
AC031,AC029,321026,2026-03-21,TXN-0174
AC-MULE-201,AC063,16350,2026-02-21,TXN-0175
AC035,AC042,141412,2026-03-14,TXN-0176
AC030,AC062,716444,2026-03-22,TXN-0177
AC016,AC-CORE-101,922615,2026-05-22,TXN-0178
AC039,AC041,589913,2026-01-16,TXN-0179
AC044,AC038,457212,2026-03-21,TXN-0180
AC033,AC010,446726,2026-05-13,TXN-0181
AC-MULE-203,AC066,707135,2026-03-09,TXN-0182
AC-MULE-204,AC027,860605,2026-03-24,TXN-0183
AC063,AC048,16140,2026-05-10,TXN-0184
AC040,AC015,21951,2026-04-05,TXN-0185
AC045,AC014,245090,2026-02-12,TXN-0186
AC045,AC050,171572,2026-03-19,TXN-0187
AC-OFFSHORE-501,AC012,700209,2026-04-07,TXN-0188
AC041,AC055,86009,2026-01-28,TXN-0189
AC055,AC061,71184,2026-02-11,TXN-0190
AC025,AC043,34625,2026-01-01,TXN-0191
AC023,AC065,216064,2026-01-05,TXN-0192
AC057,AC064,509100,2026-04-01,TXN-0193
AC050,AC-MULE-201,318786,2026-03-25,TXN-0194
AC-CORE-101,AC034,27567,2026-02-23,TXN-0195
AC052,AC067,67114,2026-05-10,TXN-0196
AC040,AC061,754730,2026-05-20,TXN-0197
AC020,AC046,17348,2026-04-12,TXN-0198
AC032,AC031,6436,2026-02-07,TXN-0199
AC018,AC049,350947,2026-01-13,TXN-0200
AC-OFFSHORE-501,AC016,159255,2026-01-02,TXN-0201
AC018,AC035,103869,2026-04-23,TXN-0202
AC056,AC015,233691,2026-05-09,TXN-0203
AC016,AC018,508296,2026-03-04,TXN-0204
AC028,AC036,234401,2026-05-07,TXN-0205
AC023,AC-CORP-301,230408,2026-05-16,TXN-0206
AC033,AC-CORE-101,902042,2026-01-22,TXN-0207
AC066,AC022,69673,2026-01-25,TXN-0208
AC032,AC061,35426,2026-03-09,TXN-0209
AC-CORP-301,AC040,25493,2026-03-26,TXN-0210
AC-CORP-301,AC-MULE-201,136156,2026-02-22,TXN-0211
AC037,AC014,97938,2026-03-27,TXN-0212
AC054,AC061,230853,2026-03-27,TXN-0213
AC024,AC017,91784,2026-02-23,TXN-0214
AC064,AC059,29887,2026-02-20,TXN-0215
AC019,AC064,31953,2026-04-04,TXN-0216
AC036,AC043,904660,2026-01-23,TXN-0217
AC031,AC046,163468,2026-05-17,TXN-0218
AC047,AC052,41591,2026-02-27,TXN-0219
AC023,AC067,93359,2026-04-28,TXN-0220
AC044,AC033,533524,2026-03-09,TXN-0221
AC051,AC054,166441,2026-02-03,TXN-0222
AC014,AC066,12779,2026-04-11,TXN-0223
AC054,AC055,395310,2026-01-18,TXN-0224
AC041,AC029,64227,2026-04-11,TXN-0225
AC045,AC063,402170,2026-03-23,TXN-0226
AC031,AC-CORE-101,193573,2026-03-12,TXN-0227
AC016,AC-CORP-301,14204,2026-02-16,TXN-0228
AC035,AC028,30748,2026-02-04,TXN-0229
AC046,AC016,82301,2026-04-02,TXN-0230
AC067,AC020,350931,2026-04-01,TXN-0231
AC058,AC064,16613,2026-05-25,TXN-0232
AC019,AC016,637477,2026-04-22,TXN-0233
AC052,AC056,121721,2026-05-23,TXN-0234
AC040,AC060,207948,2026-02-05,TXN-0235
AC043,AC030,662066,2026-02-07,TXN-0236
AC019,AC025,236214,2026-05-18,TXN-0237
AC064,AC056,32681,2026-05-10,TXN-0238
AC-MULE-203,AC051,8709,2026-02-02,TXN-0239
AC039,AC035,9065,2026-02-27,TXN-0240
AC-MULE-204,AC048,108800,2026-04-04,TXN-0241
AC033,AC039,627841,2026-01-13,TXN-0242
AC-OFFSHORE-501,AC-MULE-201,685604,2026-03-07,TXN-0243
AC028,AC027,16627,2026-03-15,TXN-0244
AC025,AC018,123167,2026-04-02,TXN-0245
AC019,AC023,51479,2026-05-28,TXN-0246
AC022,AC-CORP-301,945512,2026-02-11,TXN-0247
AC041,AC065,633299,2026-05-18,TXN-0248
AC031,AC026,736135,2026-05-03,TXN-0249
AC054,AC014,223889,2026-03-08,TXN-0250
AC049,AC040,888602,2026-02-25,TXN-0251
